rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,bom_film_id,imdb_id,tmdb_id,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region
m/10008502-christmas_carol,Q86791,A Christmas Carol,,,,,christmascarol09,tt1067106,17979.0,200000000.0,Q4917,,,P2130,325300000.0,Q4917,,,,
m/10008507-deep_water,,,,,,,,,,,,,,,,,,,,
m/10008562-road_to_victory,,,,,,,,,,,,,,,,,,,,
m/10008587-beverly_hills_chihuahua,Q390341,Beverly Hills Chihuahua,Q4899550,Beverly Hills Chihuahua,,,beverlyhillschihuahua,tt1014775,14405.0,12000000.0,Q4917,,,P2130,149281606.0,Q4917,,,,
m/10008601-fireflies_in_the_garden,Q230496,Fireflies in the Garden,,,,,firefliesinthegarden,tt0961108,7353.0,,,,,,,,,,,
m/10008606-eye,Q1139236,The Eye,,,,,eye07,tt0406759,9030.0,12000000.0,Q4917,,,P2130,56.964,Q4917,,,,
m/10008607-day_of_the_dead,Q548446,Day of the Dead,,,,,,tt0489018,13613.0,,,,,,,,,,,
m/10008611-my_best_friends_girl,Q266552,My Best Friend's Girl,,,,,mybestfriendsgirl,tt1046163,13596.0,,,,,,,,,,,
m/10008613-burrowers,Q2014167,The Burrowers,,,,,,tt0445939,15846.0,7000000.0,Q4917,,,P2130,,,,,,
m/10008617-midnight_meat_train,Q2030471,The Midnight Meat Train,,,,,midnightmeattrain,tt0805570,10185.0,,,,,,,,,,,
m/10008618-return,Q471596,The Lucky Ones,,,,,luckyones,tt0981072,16005.0,,,,,,,,,,,
m/10008621-run_fat_boy_run,Q1417929,Run Fatboy Run,,,,,runfatboyrun,tt0425413,7942.0,,,,,,,,,,,
m/10008652-closing_escrow,Q2979661,Closing Escrow,,,,,closingescrow,tt0473015,49965.0,,,,,,,,,,,
m/10008655-whiteout,Q74636,Whiteout,,,,,whiteout,tt0365929,22787.0,,,,,,,,,,,
m/10008661-randy_and_the_mob,Q7292528,Randy and the Mob,,,,,randyandthemob,tt0466943,29914.0,,,,,,,,,,,
m/10008667-black_irish,Q4921036,Black Irish,,,,,blackirish,tt0455915,13071.0,,,,,,,,,,,
m/10008678-wild_child,Q590352,Wild Child,,,,,wildchild,tt1024255,13971.0,,,,,,,,,,,
m/10008687-powder_blue,Q2066934,Powder Blue,,,,,powderblue,tt1032819,17740.0,,,,,,,,,,,
m/10008698-king_corn,Q6411362,King Corn,,,,,kingcorn,tt1112115,15281.0,,,,,,,,,,,
m/10008699-terrors_advocate,Q2719923,Terror's Advocate,,,,,terrrorsadvocate,tt1032854,22521.0,,,,,,,,,,,
m/10008700-darfur_now,Q753518,Darfur Now,,,,,darfur,tt0988102,24060.0,,,,,,,,,,,
m/10008701-laaga_chunari_mein_daag,,,,,,,,,,,,,,,,,,,,
m/10008703-rails_and_ties,Q1507790,Rails & Ties,,,,,railsandties,tt0822849,15006.0,,,,,,,,,,,
m/10008705-mr_untouchable,Q6929271,Mr. Untouchable,,,,,,tt1086340,19244.0,,,,,,,,,,,
m/10008706-house,Q5913552,House,,,,,,tt0837796,14833.0,,,,,,,,,,,
m/10008744-canvas,Q3824781,Canvas,,,,,canvas,tt0780492,55294.0,,,,,,,,,,,
m/10008747-skid_row,,,,,,,,,,,,,,,,,,,,
m/10008748-saawariya,Q1519075,Saawariya,,,,,saawariya,tt0758053,16283.0,,,,,,,,,,,
m/10008752-aaja_nachle,Q300814,Aaja Nachle,,,,,aajanachle,tt0986213,14159.0,,,,,,,,,,,
m/10008754-flawless,Q311525,Flawless,,,,,flawless07,tt0780516,13195.0,,,,,,,,,,,
m/10008760-what_happens_in_vegas,Q675472,What Happens in Vegas,,,,,whathappensinvegas,tt1033643,9029.0,35000000.0,Q4917,,,P2130,219375797.0,Q4917,,,,
m/10008785-appaloosa,Q620655,Appaloosa,,,,,appaloosa,tt0800308,12690.0,20000000.0,Q4917,,,P2130,27700000.0,Q4917,,,,
m/10008786-good,Q2601102,Good,,,,,good08,tt0436364,12410.0,,,,,,,,,,,
m/10008820-visitor,Q1048360,The Visitor,,,,,visitor08,tt0857191,12473.0,,,,,,,,,,,
m/10008830-bill,Q861919,Meet Bill,,,,,meetbill,tt0790623,13243.0,,,,,,,,,,,
m/10008849-married_life,Q187079,Married Life,,,,,marriedlife,tt0804505,8060.0,,,,,,,,,,,
m/10008856-badland,Q799179,Badland,,,,,,tt0493395,8343.0,,,,,,,,,,,
m/10008924-oxford_murders,Q402758,The Oxford Murders,,,,,oxfordmurders,tt0488604,12245.0,,,,,,,,,,,
m/10008954-untraceable,Q947355,Untraceable,,,,,untraceable,tt0880578,8090.0,35000000.0,Q4917,,,P2130,52700000.0,Q4917,,,,
m/10008991-informers,Q2593159,The Informers,,,,,informers,tt0865554,17436.0,,,,,,,,,,,
m/10008992-meeting_resistance,Q6807896,Meeting Resistance,,,,,meetingresistance,tt0823219,277696.0,,,,,,,,,,,
m/10009001-the_freshman,Q1455699,The Freshman,,,,,freshman,tt0099615,10168.0,,,,,,,,,,,
m/10009005-a_bloody_aria,Q4655520,A Bloody Aria,,,,,bloodyaria,tt0821462,57270.0,,,,,,,,,,,
m/10009029-kenny,,,,,,,,,,,,,,,,,,,,
m/10009055-rocker,Q1755845,The Rocker,,,,,rocker,tt1031969,10186.0,,,,,,,,,,,
m/10009063-perfect_holiday,Q2413413,The Perfect Holiday,,,,,perfectholiday,tt0841032,26990.0,,,,,,,,,,,
m/10009066-la_graine_et_le_mulet,Q521484,The Secret of the Grain,,,,,secretofthegrain,tt0487419,8280.0,9100000.0,Q4917,,,P2130,14700000.0,Q4917,,,,
m/10009083-land_of_the_lost,Q780981,Land of the Lost,,,,,landofthelost,tt0457400,18162.0,,,,,,,,,,,
