tconst,nconst,title,name
tt0099423,nm0006669,Die Hard 2,William Sadler
tt0099423,nm0025309,Die Hard 2,John Amos
tt0099423,nm0001240,Die Hard 2,Dennis Franz
tt0099423,nm0262543,Die Hard 2,Art Evans
tt0099423,nm0000669,Die Hard 2,Fred Thompson
tt0099423,nm0001317,Die Hard 2,Renny Harlin
tt0099426,nm0504897,Bullet in the Head,Tony Leung Chiu-wai
tt0099426,nm0156484,Bullet in the Head,Jacky Cheung
tt0099426,nm0498429,Bullet in the Head,Waise Lee
tt0099426,nm0945189,Bullet in the Head,Simon Yam
tt0099426,nm0945191,Bullet in the Head,Yolinda Yam
tt0099426,nm0482590,Bullet in the Head,Chung Lam
tt0099426,nm0950722,Bullet in the Head,Fennie Yuen
tt0099426,nm3140822,Bullet in the Head,Kan-Wing Tsang
tt0099426,nm1680092,Bullet in the Head,Hang-Shuen So
tt0099426,nm0000247,Bullet in the Head,John Woo
tt0099487,nm0000136,Edward Scissorhands,Johnny Depp
tt0099487,nm0000213,Edward Scissorhands,Winona Ryder
tt0099487,nm0001848,Edward Scissorhands,Dianne Wiest
tt0099487,nm0001309,Edward Scissorhands,Anthony Michael Hall
tt0099487,nm0000834,Edward Scissorhands,Kathy Baker
tt0099487,nm0647084,Edward Scissorhands,Robert Oliveri
tt0099487,nm0004916,Edward Scissorhands,Conchata Ferrell
tt0099487,nm0000715,Edward Scissorhands,Caroline Aaron
tt0099487,nm0930454,Edward Scissorhands,Dick Anthony Williams
tt0099487,nm0428952,Edward Scissorhands,O-Lan Jones
tt0099558,nm0000329,Armour of God 2: Operation Condor,Jackie Chan
tt0099558,nm0155546,Armour of God 2: Operation Condor,Do Do Cheng
tt0099558,nm0167938,Armour of God 2: Operation Condor,Eva Cobo
tt0099558,nm0407453,Armour of God 2: Operation Condor,Shôko Ikeda
tt0099558,nm0759757,Armour of God 2: Operation Condor,Aldo Sambrell
tt0099558,nm0329145,Armour of God 2: Operation Condor,Ken Goodman
tt0099558,nm0846497,Armour of God 2: Operation Condor,Steve Tartalia
tt0099558,nm0528203,Armour of God 2: Operation Condor,Vincent Lyn
tt0099558,nm0284782,Armour of God 2: Operation Condor,Bruce Fontaine
tt0099558,nm0033740,Armour of God 2: Operation Condor,Wayne Archer
tt0099566,nm0001321,The Field,Richard Harris
tt0099566,nm0000457,The Field,John Hurt
tt0099566,nm0000293,The Field,Sean Bean
tt0099566,nm0866626,The Field,Frances Tomelty
tt0099566,nm0002084,The Field,Brenda Fricker
tt0099566,nm0564502,The Field,Ruth McCabe
tt0099566,nm0641596,The Field,Jer O'Leary
tt0099566,nm0233045,The Field,Noel O'Donovan
tt0099566,nm0184828,The Field,John Cowley
tt0099566,nm0932856,The Field,Ronan Wilmot
tt0099566,nm0006487,The Field,Jim Sheridan
tt0099652,nm0219971,Ghayal,Sunny Deol
tt0099652,nm0700869,Ghayal,Amrish Puri
tt0099652,nm0792866,Ghayal,Meenakshi Sheshadri
tt0099652,nm0700875,Ghayal,Om Puri
tt0099652,nm0154139,Ghayal,Moushumi Chatterjee
tt0099652,nm0044796,Ghayal,Raj Babbar
tt0099652,nm0451425,Ghayal,Kulbhushan Kharbanda
tt0099652,nm1549978,Ghayal,Shabbir Khan
tt0099652,nm0077681,Ghayal,Sudesh Berry
tt0099652,nm1261120,Ghayal,Gurmeet Mitwa
tt0099652,nm0764316,Ghayal,Rajkumar Santoshi
tt0099653,nm0000664,Ghost,Patrick Swayze
tt0099653,nm0000193,Ghost,Demi Moore
tt0099653,nm0000155,Ghost,Whoopi Goldberg
tt0099653,nm0001282,Ghost,Tony Goldwyn
tt0099653,nm0493026,Ghost,Stanley Lawrence
tt0099653,nm0444700,Ghost,Christopher J. Keene
tt0099653,nm0107702,Ghost,Susan Breslau
tt0099653,nm0214781,Ghost,Martina Deignan
tt0099653,nm0458528,Ghost,Rick Kleber
tt0099653,nm0284190,Ghost,Macka Foley
tt0099653,nm0958387,Ghost,Jerry Zucker
tt0099669,nm0146431,My Father's Glory,Philippe Caubère
tt0099669,nm0746022,My Father's Glory,Nathalie Roussel
tt0099669,nm0656801,My Father's Glory,Didier Pain
tt0099669,nm0513375,My Father's Glory,Thérèse Liotard
tt0099669,nm0161765,My Father's Glory,Julien Ciamaca
tt0099669,nm0216213,My Father's Glory,Victorien Delamare
tt0099669,nm0596860,My Father's Glory,Joris Molinas
tt0099669,nm0551960,My Father's Glory,Benoît Martin
tt0099669,nm0186567,My Father's Glory,Paul Crauchet
tt0099669,nm0536536,My Father's Glory,Pierre Maguelon
tt0099669,nm0002216,My Father's Glory,Yves Robert
tt0099674,nm0000199,The Godfather Part III,Al Pacino
tt0099674,nm0000473,The Godfather Part III,Diane Keaton
tt0099674,nm0000412,The Godfather Part III,Andy Garcia
tt0099674,nm0001735,The Godfather Part III,Talia Shire
tt0099674,nm0908919,The Godfather Part III,Eli Wallach
tt0099674,nm0001505,The Godfather Part III,Joe Mantegna
tt0099674,nm0001313,The Godfather Part III,George Hamilton
tt0099674,nm0000403,The Godfather Part III,Bridget Fonda
tt0099674,nm0001068,The Godfather Part III,Sofia Coppola
tt0099674,nm0885203,The Godfather Part III,Raf Vallone
tt0099674,nm0000338,The Godfather Part III,Francis Ford Coppola
tt0099685,nm0000134,Goodfellas,Robert De Niro
tt0099685,nm0000501,Goodfellas,Ray Liotta
tt0099685,nm0000582,Goodfellas,Joe Pesci
tt0099685,nm0000966,Goodfellas,Lorraine Bracco
tt0099685,nm0000649,Goodfellas,Paul Sorvino
tt0099685,nm0803370,Goodfellas,Frank Sivero
tt0099685,nm0201700,Goodfellas,Tony Darrow
