tconst,title,year,revenue,spotify_album_id,spotify_album_name,spotify_album_year,match_score,album_popularity,avg_track_popularity,sum_track_popularity,n_tracks,album_length_ms,album_length_min,album_artists
tt3640424,Allied,2016,119520023.0,4LxkwLRaq7FU1GC9LtvWj3,Allied (Music from the Motion Picture),2016,127.0,32,17.153846153846153,223,13,2554221,42.57035,{'Alan Silvestri'}
tt0371724,The Hitchhiker's Guide to the Galaxy,2005,104478416,5I3nldvG4knCLErxWmOYb2,The Hitchhiker's Guide To The Galaxy,2005,150,27,7.909090909090909,261,33,4220257,70.33761666666666,"{'Betty Wright', 'Douglas Payne', 'RSVP Voices', 'Hilary Summers', 'Perry Como', 'Hannah Thomas', 'Kemi Ominiyi', 'Joby Talbot', 'Gabriel Crouch', 'Andy Dunlop', 'Miggy Barradas', 'Chuck Norman', 'Fran Balke', 'Stephen Fry', 'Al Green', 'Neil Hannon'}"
tt0435651,The Giver,2014,66980456.0,0AFO1wkqngzsxZHtKG2zaX,The Giver (Original Motion Picture Soundtrack),2014,127.0,23,11.7,234,20,2957194,49.286566666666666,{'Marco Beltrami'}
tt1288558,Evil Dead,2013,97542952.0,5VswaCj8hVc9Mx0sAoHfBS,Evil Dead (Original Motion Picture Soundtrack),2013,127.0,14,9.0,90,10,2437124,40.61873333333333,{'Roque Baños'}
tt1860357,Deepwater Horizon,2016,121790373.0,1sk6xVfdbnSayzg2E3Flc0,Deepwater Horizon Original Motion Picture Soundtrack,2016,127.0,28,13.857142857142858,194,14,3745414,62.423566666666666,"{'Steve Jablonsky', 'Gary Clark Jr.'}"
tt0359013,Blade: Trinity,2004,128905366,4rUrrxPJaJjFlokn3DZpoc,Blade Trinity (Original Motion Picture Soundtrack),2004,150,32,13.666666666666666,164,12,2999476,49.99126666666667,"{""Lil' Flip"", 'ParisTexas', 'Ghostface Killah', 'P. Dot', 'The RZA', 'E-40', 'Ramin Djawadi', 'The Reverend William Burk', 'WC', 'Overseer', ""Ol' Dirty Bastard"", 'Christ Bearer', 'Kool Keith', 'Raekwon', 'Black Keith', 'Manchild', 'Thee Undatakerz', 'Black Lab', 'The Crystal Method'}"
tt0358082,Robots,2005,262511490.0,5jHf9gxi20OXvFNdpOE0gj,Robots (Original Motion Picture Score),2005,127.0,26,14.789473684210526,281,19,2631394,43.856566666666666,{'John Powell'}
tt1939659,Carrie,2013,82394288.0,3mtKzwJoOOLMQo3NhUhPbp,Carrie - Music From The Motion Picture,2013,127.0,7,2.8333333333333335,34,12,3031276,50.52126666666667,"{'Lord Huron', 'Krewella', 'Vampire Weekend', 'HAIM', 'Portugal. The Man', 'Cults', 'The Civil Wars', 'Passion Pit', 'Matrimony', 'Rogue Wave', 'The Naked And Famous', 'HAERTS'}"
tt4287320,The Circle,2017,40651864.0,4iXtdUVXtKP0JdNr5v8mjW,The Circle (Original Motion Picture Soundtrack),2017,127.0,8,2.142857142857143,45,21,2454925,40.915416666666665,"{'Jónsi', 'Danny Elfman'}"
tt3717490,Power Rangers,2017,142337240.0,5qxbDByCeEkh1LlZpzQxo7,Power Rangers (Original Motion Picture Soundtrack),2017,127.0,27,11.535714285714286,323,28,4697286,78.2881,"{'Vince Staples', 'Brian Tyler', 'Haim Saban', 'Shuki Levy', 'Santigold', 'With You.'}"
tt1385826,The Adjustment Bureau,2011,127869379.0,4BSLcMFizPnapdz66fkGfM,The Adjustment Bureau (Original Motion Picture Soundtrack),2011,127.0,22,9.947368421052632,189,19,3392005,56.53341666666667,"{'Richard Ashcroft', 'Thomas Newman', 'Sarah Vaughan', 'RPA and the United Nations of Sound'}"
tt3416828,Ice Age: Collision Course,2016,408579038.0,57TXAjybUWVcjnHaoWUb28,Ice Age: Collision Course (Original Motion Picture Score),2016,127.0,11,2.9,87,30,3459058,57.65096666666667,"{'John Debney', 'John Powell', 'David Newman'}"
tt1067106,A Christmas Carol,2009,325286646.0,0G4Hk6ZTSXSz7sXKHe8QrV,A Christmas Carol OST,2009,127.0,10,2.8333333333333335,51,18,2741140,45.68566666666667,"{'Alan Silvestri', 'Andrea Bocelli'}"
tt0475290,"Hail, Caesar!",2016,63647656,7pj2To8P6YpAoXb2WJtqyr,"Hail, Caesar! (Original Motion Picture Soundtrack)",2016,150,16,4.1923076923076925,109,26,2575697,42.92828333333333,"{'Carter Burwell', 'Ascention Church Choir (Maloe), Moscow, F. Stroganov & S. Serafimovich', 'The Red Army Choir', 'Channing Tatum', 'Eddy Arnold', 'Willie Watson'}"
