tconst,title,year,revenue,spotify_album_id,spotify_album_name,spotify_album_year,match_score,album_popularity,avg_track_popularity,sum_track_popularity,n_tracks,album_length_ms,album_length_min,album_artists
tt2381941,Focus,2015,153962963.0,6GxCN2ipEzmH4cr3oEr2Ob,Focus (Original Motion Picture Soundtrack),2015,127.0,9.0,1.3571428571428572,19,14,3519640.0,58.66066666666666,"{'Daniel Michel', 'Nick Urata', 'Mauro Alberelli', 'Stooges Brass Band', 'Carlos Maximiliano Russo', 'Mateo Gonzalez Aguilar', 'Alejandro Medina', 'Manuel Gonzalez Aguilar', 'Gala Iglesias Brickles', 'Los Mareados', 'The Stooges', 'Fernando Diego Barreyro', 'Junior Kimbrough', 'Fermin Echeveste', 'Sofa Surfers', 'Ivan Diaz Mathe', 'Sebastián Martínez', 'Barbara Lewis', 'Jorge Estenbenet', 'Bruno Hovart', 'Maria Carla Flores', 'Juan Manuel Meyer', 'Edward Sharpe & The Magnetic Zeros', ""It's A Beautiful Day"", 'Francisco Olivero', 'Doris & Kelley'}"
tt0120591,Armageddon,1998,553799566.0,4jLCHgrBujiZhpoDi2iIsN,Armageddon - Original Motion Picture Score,1998,127.0,37.0,23.27777777777778,419,18,3004274.0,50.07123333333333,{'Trevor Rabin'}
tt0830515,Quantum of Solace,2008,589580482.0,2ahUhfrELmIHEUEiWUC1Nv,Quantum Of Solace: Original Motion Picture Soundtrack,2008,150.0,27.0,1.625,39,24,3677938.0,61.298966666666665,"{'Jack White', 'Alicia Keys', 'Various Artists'}"
tt1365519,Tomb Raider,2018,274650803.0,5jJRmJfNs3Jhjj0aRM33CD,Tomb Raider (Original Motion Picture Soundtrack),2018,127.0,16.0,8.571428571428571,120,14,4336877.0,72.28128333333333,{'Junkie XL'}
tt0360717,King Kong,2005,562363449.0,1Skgydum2XQAOurr30tw0a,King Kong,2005,150.0,31.0,16.80952380952381,353,21,4480021.0,74.66701666666667,{'James Newton Howard'}
tt1259521,The Cabin in the Woods,2012,71041255.0,21fvIEu1CUSkdkU6paAsYC,The Cabin In The Woods (Original Motion Picture Soundtrack),2012,150.0,16.0,3.523809523809524,74,21,3002207.0,50.03678333333333,{'David Julyan'}
tt4465564,Fifty Shades Darker,2017,378827494.0,5VML6S956h4YfoYPooqLEi,Fifty Shades Darker (Original Motion Picture Soundtrack),2017,127.0,67.0,48.68421052631579,925,19,4075702.0,67.92836666666666,"{'Taylor Swift', 'Anderson East', 'ZAYN', 'JRY', 'Mark Asari', 'Nick Jonas', 'JP Cooper', 'José James', 'Andrew Jackson', 'The-Dream', 'Frances', 'RuthAnne', 'Tove Lo', 'Nicki Minaj', 'Danny Elfman', 'Halsey', 'Kygo', 'Sia', 'Corinne Bailey Rae', 'Joseph Angel', 'Toulouse', 'John Legend', 'The Avener'}"
tt1320253,The Expendables,2010,274470394.0,3KQPLA7xyJrL2pOi7txiH2,The Expendables (Original Soundtrack),2010,127.0,16.0,5.65,113,20,4308539.0,71.80898333333333,{'Brian Tyler'}
tt0163651,American Pie,1999,235483004.0,38ndrk846PcIzsluWyvbKu,American Pie,1999,150.0,15.846153846153848,206.0,13,13,2762595.0,46.04325,"{'blink-182', 'Dishwalla', 'Super Transatlantic', 'Third Eye Blind', 'Bachelor Number One', 'The Atomic Fireballs', 'Dan Wilson', 'Shades Apart', 'Goldfinger', 'Sugar Ray', 'The Loose Nuts', 'Bic Runga', 'Tonic'}"
tt1216475,Cars 2,2011,559852396.0,3GJM6mv4riGX4gPM6goLk3,Cars 2 (Original Soundtrack),2011,127.0,52.0,33.65384615384615,875,26,3812166.0,63.5361,"{'Brad Paisley', 'Perfume', 'Weezer', 'Robbie Williams', 'Bénabar', 'Michael Giacchino'}"
