rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label
m/1029099-conquest,Q1243374,Conquest,,,,
m/1019378-something_to_sing_about,Q5391482,Something to Sing About,,,,
m/1048445-snow_white_and_the_seven_dwarfs,,,,,,
m/angels_with_dirty_faces,Q524997,Angels with Dirty Faces,,,,
m/aleksandr-nevskiy-alexander-nevsky,Q118976,Alexander Nevsky,,,,
m/la_bete_humaine,Q830558,La Bête Humaine,,,,
m/young_and_innocent,Q498983,Young and Innocent,,,,
m/bringing_up_baby,Q179743,Bringing Up Baby,,,,
m/1162756-slight_case_of_murder,Q748901,A Slight Case of Murder,,,,
m/1000355-adventures_of_robin_hood,Q201234,The Adventures of Robin Hood,,,,
m/holiday,Q528473,Holiday,,,,
m/alexanders_ragtime_band,Q1619977,Alexander's Ragtime Band,,,,
m/you_cant_take_it_with_you_1938,Q637835,You Can't Take It With You,,,,
m/the_duke_is_tops,Q7731174,The Duke Is Tops,,,,
m/boys_town,Q727016,Boys Town,,,,
m/la_grande_illusion,Q470336,La Grande Illusion,,,,
m/drums,,,,,,
m/the_citadel,Q400093,The Citadel,,,,
m/1011813-lady_vanishes,Q500044,The Lady Vanishes,,,,
m/1004125-christmas_carol,Q181248,A Christmas Carol,,,,
m/1023906-women,Q348678,The Women,,,,
m/roaring_twenties,Q1219927,The Roaring Twenties,,,,
m/the_flying_deuces,Q1167731,The Flying Deuces,,,,
m/son_of_frankenstein,Q1077374,Son of Frankenstein,Q96378410,Frankenstein,,
m/idiots_delight,Q2518053,Idiot's Delight,,,,
m/gunga_din,Q760012,Gunga Din,,,,
m/1019774-stagecoach,Q50714,Stagecoach,,,,
m/1012478-little_princess,Q151923,The Little Princess,,,,
m/love_affair_1939,Q1620069,Love Affair,,,,
m/1010002-hound_of_the_baskervilles,Q1194465,The Hound of the Baskervilles,,,,
m/1006042-dodge_city,Q577872,Dodge City,,,,
m/1024192-wuthering_heights,Q1140611,Wuthering Heights,,,,
m/dark_victory,Q771927,Dark Victory,,,,
m/only_angels_have_wings,Q1501765,Only Angels Have Wings,,,,
m/story_of_vernon_and_irene_castle,Q2095063,The Story of Vernon and Irene Castle,,,,
m/young_mr_lincoln,Q279284,Young Mr. Lincoln,,,,
m/1008627-goodbye_mr_chips,Q43228,"Goodbye, Mr. Chips",,,,
m/1007745-four_feathers,Q1114432,The Four Feathers,,,,
m/the_wizard_of_oz_1939,Q193695,The Wizard of Oz,Q5433076,Family Classics,,
m/beau_geste,Q1257031,Beau Geste,,,,
m/1010889-jamaica_inn,Q497005,Jamaica Inn,,,,
m/mr_smith_goes_to_washington,Q866120,Mr. Smith Goes to Washington,,,,
m/babes_in_arms,Q632753,Babes in Arms,,,,
m/drums_along_the_mohawk,Q2038577,Drums Along the Mohawk,,,,
m/ninotchka,Q589894,Ninotchka,,,,
m/1142171-private_lives_of_elizabeth_and_essex,Q1420016,The Private Lives of Elizabeth and Essex,,,,
m/another_thin_man,Q1271867,Another Thin Man,,,,
m/gone_with_the_wind,Q2875,Gone with the Wind,,,,
m/1009027-gullivers_travels,Q246418,Gulliver's Travels,,,,
m/destry_rides_again,Q607524,Destry Rides Again,,,,
m/1083121-of_mice_and_men,Q1620093,Of Mice and Men,,,,
m/great_dictator,Q109116,The Great Dictator,,,,
m/return_of_frank_james,Q739241,The Return of Frank James,,,,
m/knute_rockne_all_american,Q1777688,"Knute Rockne, All American",,,,
m/road_to_singapore,Q325538,Road to Singapore,Q1891168,Road to …,,
m/shop_around_the_corner,Q782751,The Shop Around the Corner,,,,
m/santa_fe_trail,Q1598010,Santa Fe Trail,,,,
m/his_girl_friday,Q1066714,His Girl Friday,,,,
m/fighting_69th,Q7733812,The Fighting 69th,,,,
m/pinocchio_1940,Q4341553,Pinocchio,Q56070713,Walt Disney Animation Studios film,Q117087195,Pinocchio
m/abe_lincoln_in_illinois,Q318169,Abe Lincoln in Illinois,,,,
m/northwest_passage,Q545243,Northwest Passage,,,,
m/strange_cargo,Q1219922,Strange Cargo,,,,
m/grapes_of_wrath,Q676039,The Grapes of Wrath,,,,
m/my_little_chickadee,Q1759125,My Little Chickadee,,,,
m/dr_cyclops,Q783491,Dr. Cyclops,,,,
m/waterloo_bridge,Q1367668,Waterloo Bridge,,,,
m/my_favorite_wife,Q589729,My Favorite Wife,,,,
m/1015737-our_town,Q1620244,Our Town,,,,
m/1008437-go_west,Q427090,Go West,,,,
m/gaslight_1940,Q5526486,Gaslight,,,,
m/1018433-sea_hawk,Q1194282,The Sea Hawk,,,,
m/all_this_and_heaven_too,Q1602612,"All This, and Heaven Too",,,,
m/1016698-pride_and_prejudice,Q940014,Pride and Prejudice,,,,
m/1021214-they_drive_by_night,Q1464106,They Drive by Night,,,,
m/i_love_you_again,Q2409342,I Love You Again,,,,
m/foreign_correspondent,Q848388,Foreign Correspondent,,,,
m/dance_girl_dance,Q2132842,"Dance, Girl, Dance",,,,
m/mummys_hand,Q2720955,The Mummy's Hand,Q3823300,The Mummy,,
m/city_for_conquest,Q1428084,City for Conquest,,,,
m/1001117-ape,,,,,,
m/1083004-mark_of_zorro,Q1541847,The Mark of Zorro,,,,
m/1012264-letter,Q1168233,The Letter,,,,
m/1064013-contraband,Q5165624,Contraband,,,,
m/philadelphia_story,Q498822,The Philadelphia Story,,,,
m/the_devil_bat,,,,,,
m/kitty_foyle,Q1471328,Kitty Foyle,,,,
m/here_comes_mr_jordan,Q583525,Here Comes Mr. Jordan,,,,
m/how_green_was_my_valley,Q244448,How Green Was My Valley,,,,
m/ball_of_fire,Q391452,Ball of Fire,,,,
m/10003876-man_hunt,Q2162011,Man Hunt,,,,
m/meet_john_doe,Q1520732,Meet John Doe,,,,
m/1041082-sea_wolf,Q1196858,The Sea Wolf,,,,
m/strawberry_blonde,Q1848335,The Strawberry Blonde,,,,
m/blossoms_in_the_dust,Q887227,Blossoms in the Dust,,,,
m/high_sierra,Q1138382,High Sierra,,,,
m/1014325-mr_and_mrs_smith,Q318651,Mr. & Mrs. Smith,,,,
m/lady_eve,Q1212344,The Lady Eve,,,,
m/topper_returns,Q1332634,Topper Returns,,,,
m/great_lie,Q794707,The Great Lie,,,,
m/men_of_boys_town,Q1171588,Men of Boys Town,,,,
m/devil_and_miss_jones,Q1580503,The Devil and Miss Jones,,,,
m/road_to_zanzibar,Q2306504,Road to Zanzibar,Q1891168,Road to …,,
m/that_uncertain_feeling,Q281301,That Uncertain Feeling,,,,
m/penny_serenade,Q419838,Penny Serenade,,,,
m/citizen_kane,Q24815,Citizen Kane,,,,
m/1002598-blood_and_sand,Q1795987,Blood and Sand,,,,
m/love_crazy,Q2450374,Love Crazy,,,,
m/1023900-womans_face,Q304789,A Woman's Face,,,,
m/little_foxes,,,,,,
m/sergeant_york,Q939424,Sergeant York,,,,
m/49th_parallel,Q1620394,49th Parallel,,,,
m/1013139-maltese_falcon,Q221462,The Maltese Falcon,,,,
m/dumbo,Q40895,Dumbo,Q56070713,Walt Disney Animation Studios film,,
m/the_devil_and_daniel_webster,Q1197377,The Devil and Daniel Webster,,,,
m/shadow_of_the_thin_man,Q1196637,Shadow of the Thin Man,,,,
m/1020660-suspicion,Q1509470,Suspicion,,,,
m/sullivans_travels,Q1065711,Sullivan's Travels,,,,
m/all_through_the_night,Q392785,All Through the Night,,,,
m/mr_bug_goes_to_town,Q2061614,Mr. Bug Goes to Town,,,,
m/wolf_man,Q431873,The Wolf Man,Q96409720,The Wolf Man,,
m/pride_of_the_yankees,Q1198860,The Pride of the Yankees,,,,
m/gentleman_jim,Q1198613,Gentleman Jim,,,,
m/holiday_inn,Q1431567,Holiday Inn,,,,
m/1007615-flying_tigers,Q3028045,Flying Tigers,,,,
m/talk_of_the_town,Q196933,The Talk of the Town,,,,
m/1011338-jungle_book,Q1167592,Jungle Book,,,,
m/kings_row,Q1620416,Kings Row,,,,
m/the_shanghai_gesture,Q331274,The Shanghai Gesture,,,,
m/woman_of_the_year,Q1212587,Woman of the Year,,,,
m/saboteur,Q502091,Saboteur,,,,
m/1021269-this_gun_for_hire,Q1215110,This Gun for Hire,,,,
m/mrs_miniver,Q478371,Mrs. Miniver,,,,
m/yankee_doodle_dandy,Q1321622,Yankee Doodle Dandy,,,,
m/1013071-magnificent_ambersons,Q628664,The Magnificent Ambersons,,,,
m/bambi,Q43051,Bambi,Q56070713,Walt Disney Animation Studios film,,
m/in_which_we_serve,Q1089543,In Which We Serve,,,,
m/now_voyager,Q1346566,"Now, Voyager",,,,
m/mummys_tomb,,,,,,
m/i_married_a_witch,Q608370,I Married a Witch,,,,
m/bowery_at_midnight,,,,,,
m/ghost_of_frankenstein,Q1444710,The Ghost of Frankenstein,Q96378410,Frankenstein,,
m/palm_beach_story,Q391515,The Palm Beach Story,,,,
m/for_me_and_my_gal,Q2371931,For Me and My Gal,,,,
m/1003707-casablanca,Q132689,Casablanca,,,,
m/black_swan,Q515528,The Black Swan,,,,
m/1003757-cat_people,Q1542184,Cat People,,,,
m/went_the_day_well,Q3567280,Went the Day Well?,,,,
m/random_harvest,Q339425,Random Harvest,,,,
m/for_whom_the_bell_tolls,Q515572,For Whom the Bell Tolls,,,,
m/destination_tokyo,Q830585,Destination Tokyo,,,,
m/five_graves_to_cairo,Q743795,Five Graves to Cairo,,,,
m/i_walked_with_a_zombie,Q1633356,I Walked with a Zombie,,,,
m/mr-lucky,Q2943978,Mr. Lucky,,,,
m/1018688-shadow_of_a_doubt,Q465979,Shadow of a Doubt,,,,
m/the_outlaw_1943,Q1521254,The Outlaw,,,,
m/saludos_amigos,Q842306,Saludos Amigos,Q56070713,Walt Disney Animation Studios film,,
m/the_human_comedy_1943,Q1520430,The Human Comedy,,,,
m/they_got_me_covered,Q3786037,They Got Me Covered,,,,
m/frankenstein_meets_the_wolf_man,Q1444712,Frankenstein Meets the Wolf Man,Q96378410,Frankenstein,,
m/air_force,Q1425082,Air Force,,,,
m/hangmen_also_die,Q758585,Hangmen Also Die!,,,,
m/more_the_merrier,Q1620549,The More the Merrier,,,,
m/cabin_in_the_sky,Q1024839,Cabin in the Sky,,,,
m/this_land_is_mine,Q2718620,This Land Is Mine,,,,
m/oxbow_incident,Q1426269,The Ox-Bow Incident,,,,
