,rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,p_and_a_method,share_effective,p_and_a_est,studio_rentals_est,profit_est,roi_est,gross_to_budget_multiple,breakeven_world_est,breakeven_gap,money_success_label
10075,m/manthing,Q770701,Man-Thing,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10076,m/manufactured_landscapes,Q2010678,Manufactured Landscapes,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10077,m/manufacturing_consent_noam_chomsky_and_the_media,Q1214005,Manufacturing Consent: Noam Chomsky and the Media,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10078,m/manuscripts_dont_burn,Q17071553,Manuscripts Don't Burn,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10079,m/manxman,Q1195706,The Manxman,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10080,m/many_adventures_of_winnie_the_pooh,Q498434,The Many Adventures of Winnie the Pooh,Q56070713,Walt Disney Animation Studios film,Q17984894,Winnie the Pooh,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10081,m/maos_last_dancer,Q622877,Mao's Last Dancer,,,,,,,,,,15440315.0,Q259502,,2009-01-01T00:00:00Z,,,50% of production budget (heuristic),0.45,,6948141.75,,,,,,
10082,m/map_of_the_human_heart,Q32424,Map of the Human Heart,,,,,,,,,,539000.0,Q259502,,1993-01-01T00:00:00Z,,,50% of production budget (heuristic),0.45,,242550.0,,,,,,
10083,m/mapplethorpe,Q39079012,Mapplethorpe,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10084,m/maps_to_the_stars,Q14369911,Maps to the Stars,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10085,m/mara_2018,Q56276506,Mara,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10086,m/marathon_man,Q1195727,Marathon Man,,,,,6500000.0,Q4917,,,P2130,21709020.0,Q4917,,,,,50% of production budget (heuristic),0.45,3250000.0,9769059.0,19059.0,0.001954769230769231,3.339849230769231,21666666.666666668,42353.33333333209,marginal
10087,m/marathon_the_patriots_day_bombing_2016,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10088,m/maratsade,Q1182497,Marat/Sade,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10089,m/marauders_2016,Q21527851,Marauders,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10090,m/marc_maron_too_real,Q65100426,Marc Maron: Too Real,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10091,m/marc_pease_experience,Q3521782,The Marc Pease Experience,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10092,m/marcel_duchamp_the_art_of_the_possible,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10093,m/march_of_the_penguins,Q330113,March of the Penguins,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10094,m/march_of_the_wooden_soldiers,Q2064189,Babes in Toyland,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10095,m/marci_x,Q2341755,Marci X,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10096,m/mardi_gras_made_in_china,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10097,m/marebito,Q2697564,Marebito,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10098,m/marfa_girl,Q3012563,Marfa Girl,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10099,m/margaret_2010,Q866694,Margaret,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10100,m/margin_call,Q624614,Margin Call,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10101,m/margot_at_the_wedding,Q1895406,Margot at the Wedding,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10102,m/marguerite_and_julien,Q19810823,Marguerite and Julien,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10103,m/maria_bamford_old_baby,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10104,m/maria_by_callas,Q52554791,Maria by Callas,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10105,m/maria_full_of_grace,Q1324641,Maria Full of Grace,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10106,m/mariachi_gringo,Q10918782,Mariachi Gringo,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10107,m/marianne_and_leonard_words_of_love,Q63986534,Marianne & Leonard: Words of Love,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10108,m/marie_curie_the_courage_of_knowledge_2017,Q26963166,Marie Curie: The Courage of Knowledge,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10109,m/marigold,Q1984568,Marigold,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10110,m/marilyn_hotchkiss_ballroom_dancing_and_charm_school,Q6763552,Marilyn Hotchkiss' Ballroom Dancing and Charm School,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10111,m/marina_abramovic_the_artist_is_present_2012,Q114041563,Marina Abramovic: The Artist Is Present,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10112,m/marine,Q1130317,The Marine,Q18393434,The Marine,,,22000000.0,Q1104069,,,P2130,25800000.0,Q4917,,,,,50% of production budget (heuristic),0.45,11000000.0,11610000.0,-21390000.0,-0.6481818181818182,1.1727272727272726,73333333.33333333,-47533333.33333333,bomb
10113,m/marinoni_the_fire_in_the_frame,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10114,m/mario,Q47539351,Mario,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10115,m/marion_bridge,Q3293618,Marion Bridge,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10116,m/marjoe,Q1763495,Marjoe,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10117,m/marjorie_prime,Q21405644,Marjorie Prime,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10118,m/mark-of-the-devil,Q444138,Mark of the Devil,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10119,m/mark_felt_the_man_who_brought_down_the_white_house,Q25136232,Mark Felt: The Man Who Brought Down the White House,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10120,m/marked_for_death,Q109110,Marked for Death,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10121,m/marked_woman,Q2542754,Marked Woman,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10122,m/marketa-lazarova,Q614960,Marketa Lazarová,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10123,m/marlene_1984,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10124,m/marley,Q1189617,Marley,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10125,m/marley_and_me,Q1129290,Marley & Me,,,,,,,,,,242717113.0,Q4917,,,,,50% of production budget (heuristic),0.45,,109222700.85000001,,,,,,
10126,m/marlowe,Q1759810,Marlowe,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10127,m/marmaduke,Q48734,Marmaduke,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10128,m/marnie,Q129895,Marnie,,,,,3000000.0,Q4917,,,P2130,7008922.0,Q4917,,,,,50% of production budget (heuristic),0.45,1500000.0,3154014.9,-1345985.1,-0.29910780000000003,2.3363073333333335,10000000.0,-2991078.0,underperformer
10129,m/marooned,Q918485,Marooned,,,,,8000000.0,Q4917,,,P2130,4000000.0,Q4917,,,,,50% of production budget (heuristic),0.45,4000000.0,1800000.0,-10200000.0,-0.85,0.5,26666666.666666664,-22666666.666666664,bomb
10130,m/marquise_of_o,Q553649,The Marquise of O,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10131,m/marriage_italian_style,Q241925,Marriage Italian-Style,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10132,m/marriage_story_2019,Q48671199,Marriage Story,,,,,18000000.0,Q4917,,,P2130,232737.0,Q4917,,,,,50% of production budget (heuristic),0.45,9000000.0,104731.65000000001,-26895268.35,-0.9961210500000001,0.012929833333333333,60000000.0,-59767263.0,bomb
10133,m/married_to_it,Q1226574,Married to It,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10134,m/married_to_the_mob,Q48984,Married to the Mob,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10135,m/married_woman,Q185445,A Married Woman,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10136,m/marrowbone,Q39073809,Marrowbone,,,,,8000000.0,Q4916,,,P2130,1377.0,Q4917,,,,,50% of production budget (heuristic),0.45,4000000.0,619.65,-11999380.35,-0.9999483625,0.000172125,26666666.666666664,-26665289.666666664,bomb
10137,m/marrying_man,Q1217996,The Marrying Man,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10138,m/mars,Q132820403,Q132820403,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10139,m/mars_attacks,Q271690,Mars Attacks!,,,,,70000000.0,Q4917,,,P2130,101371017.0,Q4917,,,,,50% of production budget (heuristic),0.45,35000000.0,45616957.65,-59383042.35,-0.5655527842857143,1.4481573857142858,233333333.3333333,-131962316.33333331,bomb
10140,m/mars_needs_moms,Q1320985,Mars Needs Moms,,,,,150000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,75000000.0,,,,,500000000.0,,
10141,m/mars_needs_women,Q3849862,Mars Needs Women,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10142,m/marshall,Q22078078,Marshall,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10143,m/marshland,Q18145311,Marshland,,,,,4000000.0,Q4916,,,P2130,,,,,,,50% of production budget (heuristic),0.45,2000000.0,,,,,13333333.333333332,,
10144,m/martha_marcy_may_marlene,Q515277,Martha Marcy May Marlene,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10145,m/martian_child,Q786559,Martian Child,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10146,m/martin_and_orloff,Q6774846,Martin & Orloff,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10147,m/martin_lawrence_live_runteldat,Q6775975,Martin Lawrence Live: Runteldat,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10148,m/martyrs,Q577581,Martyrs,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10149,m/marvels_the_avengers,Q182218,The Avengers,Q63405798,The Infinity Saga,,,220000000.0,Q4917,,,P2130,623357910.0,Q4917,,,,,50% of production budget (heuristic),0.45,110000000.0,280511059.5,-49488940.5,-0.14996648636363635,2.8334450454545457,733333333.3333334,-109975423.33333337,marginal
10150,m/marvins_room,Q559907,Marvin's Room,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10151,m/marwencol,Q6778572,Marwencol,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10152,m/mary-pickford-the-muse-of-the-movies,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10153,m/mary_2019,Q66305459,Mary,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10154,m/mary_and_the_witchs_flower,Q28021116,Mary and the Witch's Flower,,,,,,,,,,3818035.0,Q4917,,,,,50% of production budget (heuristic),0.45,,1718115.75,,,,,,
10155,m/mary_magdalene_2019,Q27957924,Mary Magdalene,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10156,m/mary_poppins,Q209170,Mary Poppins,Q24273016,Mary Poppins,,,6000000.0,Q4917,,,P2130,102272727.0,Q4917,,,,,50% of production budget (heuristic),0.45,3000000.0,46022727.15,37022727.15,4.11363635,17.0454545,20000000.0,82272727.0,smash_hit
10157,m/mary_queen_of_scots,Q37909408,Mary Queen of Scots,,,,,,,,,,46700000.0,Q4917,,,,,50% of production budget (heuristic),0.45,,21015000.0,,,,,,
10158,m/mary_reilly,Q953911,Mary Reilly,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10159,m/mary_shelley,Q23707684,Mary Shelley,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10160,m/mary_shelleys_frankenstein,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10161,m/maryam,Q6781064,Maryam,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10162,m/masai_the_rain_warriors,Q3297539,Masai: The Rain Warriors,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10163,m/mascots,Q20949909,Mascots,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10164,m/mash,Q494085,MASH,,,Q2471116,M*A*S*H,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10165,m/mask_of_zorro,Q309621,The Mask of Zorro,,,,,95000000.0,Q4917,,,P2130,250288523.0,Q4917,,,,,50% of production budget (heuristic),0.45,47500000.0,112629835.35000001,-29870164.64999999,-0.20961519052631572,2.6346160315789473,316666666.6666667,-66378143.66666669,underperformer
10166,m/masked_and_anonymous,Q969428,Masked and Anonymous,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10167,m/masquerade_2012,Q491957,Masquerade,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10168,m/master_and_commander_the_far_side_of_the_world,Q1125384,Master and Commander: The Far Side of the World,,,,,150000000.0,Q4917,,,P2130,212011111.0,Q4917,,,,,50% of production budget (heuristic),0.45,75000000.0,95404999.95,-129595000.05,-0.5759777779999999,1.4134074066666666,500000000.0,-287988889.0,bomb
10169,m/master_of_dark_shadows_2019,Q132775164,Q132775164,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10170,m/master_of_disguise,Q507262,The Master of Disguise,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10171,m/master_z_ip_man_legacy,Q57905222,Master Z: The Ip Man Legacy,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10172,m/masterminds,Q1907890,Masterminds,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10173,m/masterminds_2016,Q18151901,Masterminds,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10174,m/masters_of_the_universe,Q58972,Masters of the Universe,,,,,22000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,11000000.0,,,,,73333333.33333333,,
10175,m/masters_of_the_universe_2_cyborg,Q781870,Cyborg,,,,,1800000.0,Q4917,,,P2130,10166459.0,Q4917,,,,,50% of production budget (heuristic),0.45,900000.0,4574906.55,1874906.5499999998,0.6944098333333333,5.648032777777778,6000000.0,4166459.0,hit
10176,m/matador,Q276734,Matador,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10177,m/match_2014,Q18611406,Match,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10178,m/match_point,Q733677,Match Point,,,,,15000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,7500000.0,,,,,50000000.0,,
10179,m/matchstick_men,Q4536,Matchstick Men,,,,,62000000.0,Q4917,,,P2130,2235422.0,Q4917,,,,,50% of production budget (heuristic),0.45,31000000.0,1005939.9,-91994060.1,-0.9891834419354838,0.0360551935483871,206666666.66666666,-204431244.66666666,bomb
10180,m/mateo_2014,Q50412982,Mateo,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10181,m/material_girls,Q93868,Material Girls,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10182,m/mating_habits_of_the_earthbound_human,Q473378,The Mating Habits of the Earthbound Human,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10183,m/matrix,Q83495,The Matrix,Q1210827,The Matrix series,Q13014087,The Matrix,63000000.0,Q4917,,,P2130,172076928.0,Q4917,,,,,50% of production budget (heuristic),0.45,31500000.0,77434617.60000001,-17065382.39999999,-0.18058605714285705,2.7313798095238093,210000000.0,-37923072.0,marginal
10184,m/matrix_reloaded,Q189600,The Matrix Reloaded,Q1210827,The Matrix series,Q13014087,The Matrix,150000000.0,Q4917,,,P2130,739412035.0,Q4917,,,,,50% of production budget (heuristic),0.45,75000000.0,332735415.75,107735415.75,0.47882407,4.929413566666667,500000000.0,239412035.0,hit
10185,m/matrix_revisited,Q7750682,The Matrix Revisited,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10186,m/matrix_revolutions,Q207536,The Matrix Revolutions,Q1210827,The Matrix series,Q13014087,The Matrix,150000000.0,Q4917,,,P2130,427343298.0,Q4917,,,,,50% of production budget (heuristic),0.45,75000000.0,192304484.1,-32695515.900000006,-0.14531340400000003,2.84895532,500000000.0,-72656702.0,marginal
10187,m/matru_ki_bijlee_ka_mandola,Q3932240,Mutroo Ki Bijlee Ka Mandola,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10188,m/matt_shepard_is_a_friend_of_mine,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10189,m/matthew_barney_no_restraint,Q6790128,Matthew Barney: No Restraint,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10190,m/maudie,Q27959296,Maudie,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10191,m/maurice,Q432088,Maurice,,,,,1580000.0,Q25224,,,P2130,3300000.0,Q4917,,,,,50% of production budget (heuristic),0.45,790000.0,1485000.0,-885000.0,-0.37341772151898733,2.088607594936709,5266666.666666667,-1966666.666666667,underperformer
10192,m/maurice_richard,Q127542,Maurice Richard,,,,,8000000.0,Q1104069,,,P2130,,,,,,,50% of production budget (heuristic),0.45,4000000.0,,,,,26666666.666666664,,
10193,m/mausam_2011,Q3301799,Mausam,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10194,m/mauvais_sang,Q2275853,Mauvais sang,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10195,m/maverick,Q675520,Maverick,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10196,m/mavis,Q42947719,Mavis!,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10197,m/max,Q1475581,Max,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10198,m/max_2016,Q18152555,Max,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10199,m/max_dugan_returns,Q3699289,Max Dugan Returns,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10200,m/max_keebles_big_move,Q1779547,Max Keeble's Big Move,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10201,m/max_manus_man_of_war,Q1753970,Max Manus: Man of War,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10202,m/max_payne,Q1165314,Max Payne,,,,,35000000.0,Q4917,,,P2130,85416905.0,Q4917,,,,,50% of production budget (heuristic),0.45,17500000.0,38437607.25,-14062392.75,-0.2678551,2.440483,116666666.66666666,-31249761.666666657,underperformer
10203,m/max_reload_and_the_nether_blasters,Q98179835,Max Reload and the Nether Blasters,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10204,m/max_steel,Q17068577,Max Steel,,,,,10000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,5000000.0,,,,,33333333.333333332,,
10205,m/maxed_out,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10206,m/maximum_impact_2018,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10207,m/maximum_overdrive,Q46637,Maximum Overdrive,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10208,m/maximum_risk,Q598177,Maximum Risk,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10209,m/may,Q648417,May,,,,,1700000.0,Q4917,,,P2130,634803.0,Q4917,,,,,50% of production budget (heuristic),0.45,850000.0,285661.35000000003,-2264338.65,-0.8879759411764706,0.3734135294117647,5666666.666666667,-5031863.666666667,bomb
10210,m/may_in_the_summer,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10211,m/may_it_last_a_portrait_of_the_avett_brothers,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10212,m/may_the_devil_take_you,Q56398739,May the Devil Take You,,,,,,,,,,2900000.0,Q4917,,,,,50% of production budget (heuristic),0.45,,1305000.0,,,,,,
10213,m/maya_the_bee_movie,Q18654947,Maya the Bee Movie,,,Q122782040,Maya the Bee,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10214,m/mayhem_2017,Q30609024,Mayhem,,,,,2500000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,1250000.0,,,,,8333333.333333333,,
10215,m/maytime,Q1407062,Maytime,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10216,m/maze,Q3303096,Maze,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10217,m/maze_2019,Q30004939,Maze,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10218,m/maze_runner_the_death_cure,Q23068002,Maze Runner: The Death Cure,Q18611408,Maze Runner,,,62000000.0,Q4917,,,P2130,288261741.0,Q4917,,,,,50% of production budget (heuristic),0.45,31000000.0,129717783.45,36717783.45,0.39481487580645164,4.649382919354839,206666666.66666666,81595074.33333334,hit
10219,m/maze_runner_the_scorch_trials,Q18359358,Maze Runner: The Scorch Trials,Q18611408,Maze Runner,,,61000000.0,Q1104069,,,P2130,81697192.0,Q4917,,,,,50% of production budget (heuristic),0.45,30500000.0,36763736.4,-54736263.6,-0.598210531147541,1.3392982295081968,203333333.3333333,-121636141.33333331,bomb
10220,m/mccabe_and_mrs_miller,Q1423362,McCabe & Mrs. Miller,,,,,,,,,,8200000.0,Q4917,,,,,50% of production budget (heuristic),0.45,,3690000.0,,,,,,
10221,m/mccanick,Q6800138,McCanick,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10222,m/mcconkey_2013,Q12126084,McConkey,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10223,m/mcfarland_usa,Q16253025,"McFarland, USA",,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10224,m/mclibel_two_worlds_collide_2005,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10225,m/mclintock,Q530507,McLintock!,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10226,m/mcq,Q963867,McQ,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10227,m/mcqueen,Q54026955,McQueen,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10228,m/me_and_earl_and_the_dying_girl,Q18152566,Me & Earl & the Dying Girl,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10229,m/me_and_you_and_everyone_we_know,Q2559560,Me and You and Everyone We Know,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10230,m/me_before_you,Q20735644,Me Before You,,,,,20000000.0,Q4917,,,P2130,207945075.0,Q4917,,,,,50% of production budget (heuristic),0.45,10000000.0,93575283.75,63575283.75,2.119176125,10.39725375,66666666.666666664,141278408.33333334,smash_hit
10231,m/me_myself_and_irene,Q844506,"Me, Myself & Irene",,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10232,m/me_myself_i,Q3429348,Me Myself I,,,,,,,,,,2698330.0,Q259502,,2000-01-01T00:00:00Z,,,50% of production budget (heuristic),0.45,,1214248.5,,,,,,
10233,m/me_without_you,Q474470,Me Without You,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10234,m/me_you_them,Q1551080,Me You Them,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10235,m/mea_maxima_culpa_silence_in_the_house_of_god,Q6803115,Mea Maxima Culpa: Silence in the House of God,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10236,m/mean_creek,Q1886026,Mean Creek,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10237,m/mean_dreams,Q23755528,Mean Dreams,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10238,m/mean_girls,Q631103,Mean Girls,Q125526418,Mean Girls,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10239,m/mean_machine,Q376663,Mean Machine,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10240,m/mean_season,Q1171463,The Mean Season,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10241,m/mean_streets,Q841335,Mean Streets,,,,,500000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,250000.0,,,,,1666666.6666666665,,
10242,m/meantime,Q526914,Meantime,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10243,m/measure_for_measure_2020,Q116055825,Measure for Measure,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10244,m/meatballs,Q2601425,Meatballs,Q88931672,Meatballs,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10245,m/mechanic,Q388476,The Mechanic,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10246,m/mechanic_resurrection,Q18552037,Mechanic: Resurrection,,,,,40000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,20000000.0,,,,,133333333.33333333,,
10247,m/medallion,Q375775,The Medallion,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10248,m/medea_1969,Q931557,Medea,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10249,m/medicine_for_melancholy,Q6806762,Medicine for Melancholy,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10250,m/mediterranea_2015,Q19824788,Mediterranea,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
