,rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,p_and_a_method,share_effective,p_and_a_est,studio_rentals_est,profit_est,roi_est,gross_to_budget_multiple,breakeven_world_est,breakeven_gap,money_success_label
67,m/10006940-silk,Q717447,Silk,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
68,m/10007139-park,Q1838716,Park,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
69,m/10007142-the_4th_dimension,Q7711934,The 4th Dimension,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
70,m/10007333-bon_cop_bad_cop,Q892035,"Bon Cop, Bad Cop",,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
71,m/10007415-amazing_grace,Q456017,Amazing Grace,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
72,m/10007538-silence,Q15271066,The Silence,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
73,m/10007598-cocaine_cowboys,Q2460440,Cocaine Cowboys,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
74,m/10007614-gone,Q1537088,Gone,,,,,,,,,,88748.0,Q259502,,2007-01-01T00:00:00Z,,,50% of production budget (heuristic),0.45,,39936.6,,,,,,
75,m/10007714-situation,Q3212852,The Situation,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
76,m/10007821-snow_blind,Q7548180,Snow Blind,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
77,m/10007856-four_sheets_to_the_wind,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
78,m/10007886-the_tigers_tail,Q3008824,The Tiger's Tail,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
79,m/10007893-its_a_boy_girl_thing,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
80,m/10007898-slipstream,Q1636872,Slipstream,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
81,m/10007902-delirious,Q4471,Delirious,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
82,m/10007916_interview,Q1671469,Interview,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
83,m/1000792-american_anthem,Q3083599,American Anthem,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
84,m/10007947-ten,Q1167123,The Ten,,,,,,,,,,785528.0,Q4917,,,,,50% of production budget (heuristic),0.45,,353487.60000000003,,,,,,
85,m/10007985-happening,Q681092,The Happening,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
86,m/10008005-moliere,Q2755755,Molière,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
87,m/10008126-straightheads,Q1510230,Straightheads,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
88,m/10008140-borderland,Q893419,Borderland,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
89,m/10008200-spiral,Q1358540,Spiral,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
90,m/10008234-alexandra,Q2723465,Alexandra,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
91,m/10008390_blood_and_tears,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
92,m/10008423-cool_school,Q7727553,The Cool School,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
93,m/10008496-pathology,Q1780174,Pathology,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
94,m/10008502-christmas_carol,Q86791,A Christmas Carol,,,,,200000000.0,Q4917,,,P2130,325300000.0,Q4917,,,,,50% of production budget (heuristic),0.45,100000000.0,146385000.0,-153615000.0,-0.51205,1.6265,666666666.6666666,-341366666.6666666,bomb
95,m/10008507-deep_water,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
96,m/10008562-road_to_victory,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
97,m/10008587-beverly_hills_chihuahua,Q390341,Beverly Hills Chihuahua,Q4899550,Beverly Hills Chihuahua,,,12000000.0,Q4917,,,P2130,149281606.0,Q4917,,,,,50% of production budget (heuristic),0.45,6000000.0,67176722.7,49176722.7,2.73204015,12.440133833333332,40000000.0,109281606.0,smash_hit
98,m/10008601-fireflies_in_the_garden,Q230496,Fireflies in the Garden,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
99,m/10008606-eye,Q1139236,The Eye,,,,,12000000.0,Q4917,,,P2130,56.964,Q4917,,,,,50% of production budget (heuristic),0.45,6000000.0,25.6338,-17999974.3662,-0.9999985759,4.747e-06,40000000.0,-39999943.036,bomb
